Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 29	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	21634430	Ki	=	 29	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	18494463	IC50	=	 90	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	18672316	IC50	=	 111	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	19301902	IC50	=	 52	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	23116147	IC50	=	 210	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	24565573	IC50	=	 29	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 118	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	NA_BindingDB_US Patent	IC50	=	 19.4	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	24766560	IC50	=	 9.4	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	19084395	IC50	=	 200	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	18430569	Ki	=	 1	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	22260166	IC50	=	 27	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	19410459	IC50	=	 43	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	18809328	IC50	=	 43	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	25734520	IC50	=	 54	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	25899338	IC50	=	 144	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	25380299	Ki	=	 22	III
Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	BindingDB	24694055	IC50	=	 63	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	DrugBank	17694093	NA	NA	NA	II
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	24864038	IC50	=	 28	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25238284	IC50	=	 240	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	NA_BindingDB_US Patent	IC50	=	 100.9	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	18809328	IC50	=	 82	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	20392638	IC50	=	 72	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25906087	IC50	=	 121	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 256	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	19699639	IC50	=	 200	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	20451378	Ki	=	 40	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	19084294	IC50	=	 100	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	19966789	IC50	=	 400	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	19419205	IC50	=	 250	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	18060775	IC50	=	 170	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	20392638	IC50	=	 76	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	23368884	IC50	=	 11	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25233084	IC50	=	 921	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	18494463	IC50	=	 164	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	21548582	IC50	=	 100	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	23570542	IC50	=	 101	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	20637529	IC50	=	 390	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	23116147	IC50	=	 780	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	21634430	Ki	=	 42	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	18672316	IC50	=	 164	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25563890	IC50	=	 921	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	21417297	IC50	=	 240	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	20055418	IC50	=	 282	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	21334896	IC50	=	 66	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	18642892	IC50	=	 282	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	20472442	IC50	=	 36	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 232	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	21080647	IC50	=	 24	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 180	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	24588105	IC50	=	 920	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25380299	Ki	=	 7.0	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25218912	IC50	=	 182	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25454270	IC50	=	 164	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	22771007	IC50	=	 260	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	19441846	IC50	=	 82	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	14698179	IC50	=	 73.0	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	19419863	IC50	=	 282	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 921	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25874326	IC50	=	 280	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	IUPHAR	20139990	Ki	=	1.600000024	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	19410459	IC50	=	 82	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	25462271	IC50	=	 175	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	26640968	IC50	=	 11	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 66	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	24565573	IC50	=	 921	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	22771007	IC50	=	 200	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	18370373	IC50	=	 82	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	24766560	IC50	=	 410	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	22439863	IC50	=	 1.7	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	20452225	IC50	=	 210	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	24694055	IC50	=	 185	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	23252603	IC50	=	 920	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	24742384	IC50	=	 100	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	21721525	IC50	=	 16	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	23581848	IC50	=	 256.4	III
Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 537	III
Vorinostat	HMGCR	Protein	P04035	Homo sapiens	BindingDB	23570542	IC50	>	10000	III
Vorinostat	KDM4E	Protein	B2RXH2	Homo sapiens	BindingDB	18942826	IC50	=	 540000	III
Vorinostat	KDM4E	Protein	B2RXH2	Homo sapiens	BindingDB	21596573	IC50	=	 540000	III
Vorinostat	KDM4E	Protein	B2RXH2	Homo sapiens	BindingDB	21596573	IC50	=	 14000	III
Vorinostat	Acetoin utilization protein	Protein	O67135	Aquifex aeolicus (strain VF5)	DrugBank	NA_DrugBank	NA	NA	NA	I
Vorinostat	Histone deacetylase 1	Protein	O09106	Mus musculus	BindingDB	17004718	IC50	=	 112	III
Vorinostat	Histone deacetylase 1	Protein	O09106	Mus musculus	BindingDB	14998325	IC50	=	 112	III
Vorinostat	Histone deacetylase 1	Protein	O09106	Mus musculus	BindingDB	18247554	IC50	=	 112	III
Vorinostat	Histone deacetylase 1	Protein	O09106	Mus musculus	BindingDB	11960489	IC50	=	 112	III
Vorinostat	Histone deacetylase 1	Protein	O09106	Mus musculus	BindingDB	17196388	IC50	=	 0.030000	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	DrugBank	17694093	NA	NA	NA	II
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21721525	IC50	=	 21.8	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21634430	Ki	=	 36	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18308563	IC50	=	 57	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18430569	IC50	=	 18.8	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25906087	IC50	=	 59	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23644210	IC50	=	 55	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 110	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23672185	IC50	=	 4.0	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23602523	IC50	=	 170	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23368884	IC50	=	 3.0	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	20143840	IC50	=	 147	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	22738629	IC50	=	 140	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24328302	IC50	=	 70	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18672316	IC50	=	 67	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 28	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 350	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23591111	IC50	=	 67	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	26640968	IC50	=	 3	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 43	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24565573	IC50	=	 350	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 41	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18494463	IC50	=	 48	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	20637529	IC50	=	 200	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18370373	IC50	=	 57	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18247554	IC50	=	 37	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	20452225	IC50	=	 150	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21080629	IC50	=	 37	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21334896	IC50	=	 34	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24588105	IC50	=	 350	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25238284	IC50	=	 130	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24694055	IC50	=	 90	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25454270	IC50	=	 106	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23089527	IC50	=	 136	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25233084	IC50	=	 350	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24864038	IC50	=	 110	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25380299	Ki	=	 12	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24095018	IC50	=	 110	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21417297	IC50	=	 250	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	19410459	IC50	=	 57	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	20472442	IC50	=	 31	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18060775	IC50	=	 100	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	20055418	IC50	=	 17	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25563890	IC50	=	 350	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	20451378	Ki	=	 29	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24261862	IC50	=	 250	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25462271	IC50	=	 57	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21889343	IC50	=	 146	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	25218912	IC50	=	 182	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18430569	Ki	=	 2	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23964961	IC50	=	 106	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	24742384	IC50	=	 350	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 132	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18642892	IC50	=	 17	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 41	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	19419863	IC50	=	 17	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21080647	IC50	=	 150	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	IUPHAR	20139990	Ki	=	5	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	19441846	IC50	=	 57	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	19966789	IC50	=	 200	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	18809328	IC50	=	 57	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	23581848	IC50	=	 28.4	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21548582	IC50	=	 27	III
Vorinostat	HDAC3	Protein	O15379	Homo sapiens	BindingDB	21745740	IC50	=	 170	III
Vorinostat	NR0B1	Protein	P51843	Homo sapiens	BindingDB	NA_PubChem_aid687017	IC50	=	 747.17	III
Vorinostat	NR5A1	Protein	Q13285	Homo sapiens	BindingDB	NA_PubChem_aid687018	IC50	>	67474	III
Vorinostat	CYP3A4	Protein	P08684	Homo sapiens	BindingDB	21742496	IC50	>	10000	III
Vorinostat	CYP3A4	Protein	P08684	Homo sapiens	BindingDB	17107790	IC50	=	 12000	III
Vorinostat	KCNH2	Protein	Q12809	Homo sapiens	BindingDB	21742496	IC50	>	30000	III
Vorinostat	KCNH2	Protein	Q12809	Homo sapiens	BindingDB	21650221	IC50	>	30000	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	24079912	KD	=	 6.8e+3	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	14698179	IC50	=	 290	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	20605448	IC50	=	 45	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25874326	IC50	=	 1680	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20451378	Ki	=		III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20139990	Ki	=		III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	21334896	IC50	=	 1100	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	22967811	IC50	=	 1600	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18247554	IC50	=	 820	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	21548582	IC50	=	 440	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	21080629	IC50	=	 1200	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	21712146	IC50	=	 3295.01	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	23368884	IC50	=	 1020	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19410459	IC50	=	 1700	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	24864038	IC50	=	 110	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18370373	IC50	=	 1700	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18672316	IC50	=	 1375	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	24565573	IC50	=	 243	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18642892	IC50	=	 1140	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18494463	IC50	=	 1524	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 306	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25906087	IC50	=	 5.5	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	26640968	IC50	=	 1.02e+3	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	21634430	Ki	=	 173	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19441846	IC50	=	 1700	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18247554	IC50	=	 1200	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25454270	IC50	=	 1500	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25563890	IC50	=	 243	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	20055418	IC50	=	 2290	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19854643	IC50	=	 2185	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	21417297	IC50	=	 180	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 2000	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	20451378	IC50	=	 272	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	20171895	IC50	=	 1480	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	24079912	KD	=	 1.2e+3	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25380299	Ki	=	 700	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	23252603	IC50	=	 960	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18412327	Ki	=	 2000	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	20669972	IC50	=	 1860	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25734520	IC50	=	 660	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	23547652	IC50	=	 232	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	22182579	KD	=	 2900	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	23010266	IC50	=	 440	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25218912	IC50	=	 4890	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 2000	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18060775	IC50	=	 410	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	24742384	IC50	=	 240	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	20451378	Ki	=	 205	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19886628	IC50	=	 4.4E2	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	23116147	IC50	=	 1500	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25899338	IC50	=	 232	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	18809328	IC50	>	1	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	24588105	IC50	=	 243	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	20472442	IC50	=	 2000	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19093884	IC50	=	 1860	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25233084	IC50	=	 243	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19419205	IC50	=	 1700	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	22260166	IC50	=	 1989	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	21924799	IC50	=	 700	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	25238284	IC50	=	 310	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 243	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	NA_BindingDB_US Patent	IC50	=	 232	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19886628	Ki	=	 3.96E2	III
Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	BindingDB	19966789	IC50	=	 300	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	18370373	null	=	null	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	21634430	Ki	=	 36	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 15000	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	24742384	IC50	=	 380	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	25218912	IC50	=	 2480	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	20451378	Ki	=	 33	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 378	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	23252603	IC50	=	 20000	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	IUPHAR	20139990	Ki	=	3600	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	18672316	IC50	=	 107	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	21417297	IC50	=	 150	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	18060775	IC50	>	30000	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	19441846	IC50	>	10000	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	19699639	IC50	=	 1300	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	25238284	IC50	=	 27200	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	=	 27200	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	19966789	IC50	=	 400	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	21080647	IC50	=	 3000	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	23368884	IC50	=	 8750	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	18809328	IC50	>	1	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	24565573	IC50	=	 378	III
Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	BindingDB	24588105	IC50	=	 378	III
Vorinostat	Histone Deacetylase 6 (HDAC6)	Protein	Q9Z2V5	Mus musculus	BindingDB	25797804	IC50	=	 270	III
Vorinostat	Histone Deacetylase 6 (HDAC6)	Protein	Q9Z2V5	Mus musculus	BindingDB	17958342	IC50	=	 196	III
Clofarabine	RRM2	Protein	P31350	Homo sapiens	IUPHAR	1707752	IC50	=	5	III
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	17852710	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	20631817	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	19519505	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	15230627	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	18780321	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	19576186	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	DrugBank	18728851	NA	NA	NA	II
Clofarabine	RRM1	Protein	P23921	Homo sapiens	IUPHAR	1707752	IC50	=	5	III
Clofarabine	POLA1	Protein	P09884	Homo sapiens	DrugBank	17852710	NA	NA	NA	II
